"ID","Z","Z_SE","psm_crit","alpha","coho.pres.m","score.coho.pres","cols.coho.pres","chin.pres.m","score.chin.pres","cols.chin.pres","numspp","score.numspp","cols.numspp"
2157,-0.565472752664958,0.13433738748399,0.3,0.95,"15303","4.39767843760434","#083979","-9999","-9999","-9999","3","0.0112757963189159","#08306B"
1564,-1.00778012354489,0.151873204311252,0.3,0.95,"15381","4.40046202917334","#004E1F","-9999","-9999","-9999","2","1.3525867625132","#63BC6E"
2568,-0.0227115231452841,0.127082400093578,0.3,0.95,"15397","4.40117131360129","#083A7A","10405","6.08752693521655","#08478E","3","0.448628123332171","#084489"
2627,0.364925568946501,0.13437525219919,0.3,0.95,"15749","4.40342091114175","#083A7A","6674","6.9971218793195","#1D6CB1","3","0.923305956845177","#1460A8"
2911,-0.373101489667519,0.131251154357167,0.3,0.95,"15287","4.40426567336575","#083A7B","13810","5.28433406019556","#083674","3","0.170373465754349","#083573"
2256,-0.574101382260516,0.14275355177208,0.3,0.95,"15200","4.41895302885727","#004E1F","4259","7.49581742895608","#54B466","2","1.28977827830784","#258D46"
96,0.24749573028074,0.135859369470244,0.3,0.95,"15578","4.42507870875811","#083B7B","15273","5.0165493772279","#083472","3","0.859231947253594","#115DA5"
2246,-0.706417985032751,0.1293055186776,0.3,0.95,"15119","4.43687472549065","#004F1F","10325","6.09039537698032","#005823","2","1.29386348871066","#309950"
63,-1.09507542962496,0.150623591861232,0.3,0.95,"14918","4.51161882554204","#005020","13801","5.31287565819303","#00491D","3","0.556277062227575","#117C38"
2295,-0.616018594200364,0.139104139098698,0.3,0.95,"14723","4.51747843863084","#005120","9308","6.32529539403811","#006428","3","0.00600123948636916","#00451B"
2628,0.2867142313958,0.125125186676993,0.3,0.95,"14929","4.55588955601696","#083B7B","5555","7.24598958851339","#3080BC","3","0.855108758392601","#115CA5"
1934,-1.02076535609082,0.160178965414604,0.3,0.95,"14408","4.6045811525951","#005120","-9999","-9999","-9999","2","1.36597125555234","#6CC072"
2687,0.425206337228215,0.138734209753524,0.3,0.95,"14832","4.60604037154055","#083B7C","11198","5.972375353962","#08448A","3","1.00546375621743","#1663AA"
2307,0.146105247206132,0.135543109293716,0.3,0.95,"14538","4.6092974325085","#083B7C","11470","5.86610053178835","#084185","3","0.700937022785432","#0A539E"
2625,0.229686805828873,0.133982137091544,0.3,0.95,"14622","4.61138008714918","#083C7D","7451","6.80508626784682","#1461A8","3","0.817505049846863","#0E59A2"
95,0.201288719030858,0.137456126548822,0.3,0.95,"14485","4.62725001354886","#083C7D","14485","5.17918089754474","#083573","3","0.746498173165851","#0B559F"
1586,-1.16487623884818,0.131693733892763,0.3,0.95,"14272","4.64609101224421","#005221","11616","5.81849577651524","#005422","3","0.5728736842489","#127D39"
2082,0.240619013488772,0.138762313118918,0.3,0.95,"14365","4.6713213201879","#083C7D","12632","5.62090429377802","#083C7D","3","0.860259373880035","#115DA5"
2587,-0.231446917336474,0.131932259027819,0.3,0.95,"14030","4.67659963571584","#083D7E","6979","6.87608147778193","#1663AA","2","1.34631200707847","#3C8CC3"
2331,-0.431200169966362,0.124487554672739,0.3,0.95,"13919","4.68594562130764","#083D7E","9837","6.20445780397956","#084B94","3","0.149614101604968","#083471"
25,-0.96007262455026,0.135275693279756,0.3,0.95,"13916","4.698515131263","#005321","10367","6.09083717337499","#005924","3","0.366793103559715","#016D2C"
2301,-0.277961666284858,0.137677656837187,0.3,0.95,"13856","4.70302158731983","#083D7F","7649","6.71441815233568","#105CA4","3","0.246247979787344","#083B7C"
2617,0.195249712142232,0.135207761051322,0.3,0.95,"14044","4.71312674136854","#083D7F","-9999","-9999","-9999","1","2.67819722001843","#CDE0F1"
474,0.529547936061007,0.13319728138779,0.3,0.95,"14353","4.71366258452771","#083E80","-9999","-9999","-9999","2","1.66675376176612","#6AADD5"
329,-0.74745730596624,0.1335952454853,0.3,0.95,"13709","4.72881856147842","#005421","12044","5.69256495006767","#004F1F","2","1.29661785413698","#329C51"
2250,-1.42502563586172,0.149493044553096,0.3,0.95,"14027","4.73537214457568","#005421","-9999","-9999","-9999","1","2.71112535212699","#EBF7E7"
1511,0.532332781275524,0.140968365296051,0.3,0.95,"14311","4.73622570471843","#083E80","4584","7.50409083685935","#4997C8","3","1.11717510633156","#1C6AB0"
724,0.122494400155079,0.127272492609025,0.3,0.95,"13869","4.7427780910399","#083E80","1317","8.20601967153538","#C2D9ED","3","0.679254910511659","#08509B"
397,0.497019824085399,0.135527690858311,0.3,0.95,"14166","4.74746580356008","#083E81","4995","7.39840218440438","#3C8CC3","3","1.03829763504476","#1967AD"
119,-0.0706342258993955,0.133187116365538,0.3,0.95,"13680","4.75621618761852","#083F81","10040","6.17351665350891","#084A92","3","0.470103173130742","#08468C"
2685,1.14457230828662,0.138985566384612,0.3,0.95,"15121","4.75654987107254","#083F82","2824","8.01489049013036","#A0CAE1","2","2.14864073470131","#A8CEE4"
2159,0.115341936185679,0.136327667387478,0.3,0.95,"13719","4.77514705132713","#083F82","7506","6.77837681762881","#125FA6","3","0.691106387902642","#08519C"
