"","site","psm_crit","alpha","delta_z"
"457","845",0.15,0.81,0.524386150249131
"458","845",0.16,0.81,0.581937302309965
"459","845",0.17,0.81,0.636325651066158
"460","845",0.18,0.81,0.686425616321949
"461","845",0.19,0.81,0.736373034231646
"462","845",0.2,0.81,0.785420946465043
"463","845",0.21,0.81,0.834429791206754
"464","845",0.22,0.81,0.880008851763756
"465","845",0.23,0.81,0.924551131906627
"466","845",0.24,0.81,0.966257345716631
"467","845",0.25,0.81,1.00992951567966
"468","845",0.26,0.81,1.04412759967854
"469","845",0.27,0.81,1.0850913844697
"470","845",0.28,0.81,1.11892354165298
"471","845",0.29,0.81,1.15722186410917
"472","845",0.3,0.81,1.19046412239037
"473","845",0.31,0.81,1.22616897465833
"474","845",0.32,0.81,1.26020681103933
"475","845",0.33,0.81,1.29206065922415
"476","845",0.34,0.81,1.32842821724525
"477","845",0.35,0.81,1.36100878976375
"478","845",0.36,0.81,1.39325801962479
"479","845",0.37,0.81,1.42455864686824
"480","845",0.38,0.81,1.45318391525153
"481","845",0.39,0.81,1.48304962319929
"482","845",0.4,0.81,1.51307505550839
"483","845",0.41,0.81,1.54435716698004
"484","845",0.42,0.81,1.57027050719058
"485","845",0.43,0.81,1.60052385720363
"486","845",0.44,0.81,1.63070603330212
"487","845",0.45,0.81,1.65833245720356
"488","845",0.46,0.81,1.68613261253652
"489","845",0.47,0.81,1.70958937041965
"490","845",0.48,0.81,1.74039066835942
"491","845",0.49,0.81,1.77088970693851
"492","845",0.5,0.81,1.8010412790711
"493","845",0.1,0.82,0.124507073865711
"494","845",0.11,0.82,0.206571372840289
"495","845",0.12,0.82,0.278049120598039
"496","845",0.13,0.82,0.346557005780161
"497","845",0.14,0.82,0.412290016232819
"498","845",0.15,0.82,0.475623899702929
"499","845",0.16,0.82,0.537370048314079
"500","845",0.17,0.82,0.593970837286535
"501","845",0.18,0.82,0.646126053982101
"502","845",0.19,0.82,0.700738168007286
"503","845",0.2,0.82,0.752349999589534
"504","845",0.21,0.82,0.793154461733392
"505","845",0.22,0.82,0.841548363417169
"506","845",0.23,0.82,0.883213683407309
"507","845",0.24,0.82,0.925170024200651
"508","845",0.25,0.82,0.96333627827611
"509","845",0.26,0.82,1.00276731879936
"510","845",0.27,0.82,1.03728390088912
"511","845",0.28,0.82,1.07750179307026
"512","845",0.29,0.82,1.11455708694309
"513","845",0.3,0.82,1.14637933412924
"514","845",0.31,0.82,1.17781930966502
"515","845",0.32,0.82,1.21054966256059
"516","845",0.33,0.82,1.24547881345592
"517","845",0.34,0.82,1.27757824377955
"518","845",0.35,0.82,1.30801541884931
"519","845",0.36,0.82,1.33843034686129
"520","845",0.37,0.82,1.36842130207918
"521","845",0.38,0.82,1.40179034854123
"522","845",0.39,0.82,1.4344188019977
"523","845",0.4,0.82,1.46756410921699
"524","845",0.41,0.82,1.49981337970994
"525","845",0.42,0.82,1.53055061619285
"526","845",0.43,0.82,1.55943991262156
"527","845",0.44,0.82,1.58635898783244
"528","845",0.45,0.82,1.61608430023341
"529","845",0.46,0.82,1.64973087310612
"530","845",0.47,0.82,1.68138296074283
"531","845",0.48,0.82,1.70878543456807
"532","845",0.49,0.82,1.7359838895369
"533","845",0.5,0.82,1.76480952710264
"534","845",0.1,0.83,0.0740391339255013
"535","845",0.11,0.83,0.159626679350269
"536","845",0.12,0.83,0.235006430846307
"537","845",0.13,0.83,0.30352460625417
"538","845",0.14,0.83,0.363486852638384
"539","845",0.15,0.83,0.426087751492542
"540","845",0.16,0.83,0.4829814161816
"541","845",0.17,0.83,0.54327459688836
