"ID","Z","coho.pres.m","coho.pres.stan","score.coho.pres","numspp.stan","numspp","score.numsp"
1523,0.59140701883361,0.895831531398992,5315.7,7.25387216765443,3,3,0.59140701883361
1294,-1.2972883163239,0.987720998177408,5603.58,7.25476594883657,2,2,1.63797343558145
44,-0.864297561293709,0.913281848019723,5370.37,7.26387582692723,3,3,0.864297561293709
1529,1.00151194881629,0.926678405337668,5412.34,7.26820804248122,1,1,2.23674455037266
146,0.624019174652162,0.866363574010555,5223.38,7.28596306678443,2,2,1.17872809855945
2097,0.0090611001342305,0.833342991343378,5119.93,7.29221748122062,1,1,2.00002052577858
2253,-0.472853007241053,0.840971719480116,5143.83,7.29991378376278,2,2,1.10616000942762
1190,-1.03667822671282,0.876944843371763,5256.53,7.3223663301484,2,2,1.44038249980359
125,0.486262824044633,0.814829759881838,5061.93,7.3268787880942,1,1,2.05826420414092
2530,-1.42669161123054,0.938169376589659,5448.34,7.32761617422464,1,1,2.4567150737429
72,-0.839774529053689,0.84224849406367,5147.83,7.33156004084708,3,3,0.839774529053689
2568,-0.0229871596940715,0.792514932097765,4992.02,7.33307594020688,3,3,0.0229871596940715
2685,1.14786943419847,0.878173738908434,5260.38,7.33772015726619,2,2,1.52236797061917
67,-1.22934669461347,0.887676133746538,5290.15,7.3415380885657,2,2,1.58470605967071
2587,-0.236542476442855,0.785786330042432,4970.94,7.34357911153755,2,2,1.02759541803266
142,0.332673115043619,0.787506783793772,4976.33,7.34558511768386,1,1,2.02747907547102
68,-0.365339723365615,0.7685690247832,4917,7.3660514146562,3,3,0.365339723365615
2262,-0.668467730504411,0.783756258454581,4964.58,7.37216762989044,2,2,1.20285040912231
724,0.126911722771335,0.748118287891117,4852.93,7.37852808563344,3,3,0.126911722771335
399,0.902585043010727,0.796099476741094,5003.25,7.38482062925655,3,3,0.902585043010727
2651,0.566974743865959,0.760940296646463,4893.1,7.38640695988185,3,3,0.566974743865959
2782,0.735573654342993,0.775754073752153,4939.51,7.38651744390047,2,2,1.24139784153329
1205,-1.18637556374824,0.832503512054691,5117.3,7.38891634101407,2,2,1.55160786871521
607,-0.453586431882733,0.747036221431554,4849.54,7.3924473417447,3,3,0.453586431882733
92,0.634484095849036,0.75398506710255,4871.31,7.39882497625519,3,3,0.634484095849036
709,0.0875847653555141,0.725286366400704,4781.4,7.40078675664425,1,1,2.00191685419809
327,-0.767971551320687,0.747326687649313,4850.45,7.4180880971107,2,2,1.26086490300821
2556,0.256657193137363,0.709138359855199,4730.81,7.42085617477534,3,3,0.256657193137363
2697,0.898186935902095,0.756015138690401,4877.67,7.42407268456257,1,1,2.19242782591017
2677,1.06119798311137,0.775259323601026,4937.96,7.42650559700203,2,2,1.45812933560766
2109,0.169748121863123,0.699134830993049,4699.47,7.42835975300498,3,3,0.169748121863123
2164,0.0852046700900269,0.693967085866113,4683.28,7.4320761855782,3,3,0.0852046700900269
1189,-1.06214660941355,0.763800271713625,4902.06,7.4379826423696,3,3,1.06214660941355
2317,0.280042428737208,0.688847219786059,4667.24,7.44197850275804,3,3,0.280042428737208
2458,-1.26268608634645,0.788157938831385,4978.37,7.44525147207275,1,1,2.36524336013293
2932,1.64756796160916,0.863586589291324,5214.68,7.4465202011701,1,1,2.59123140381575
2248,-0.816657925915378,0.721819923406353,4770.54,7.44863886411606,1,1,2.1603078873069
631,1.39529603514911,0.797095360916266,5006.37,7.46010518737442,1,1,2.43861662130455
2648,-0.687172275568668,0.688457803538075,4666.02,7.46877621241492,3,3,0.687172275568668
505,0.306232493541119,0.6627659069805,4585.53,7.46906935595918,1,1,2.02330876044671
70,-1.26181637454669,0.755076709371488,4874.73,7.47770877219871,3,3,1.26181637454669
58,-0.348125830061934,0.65072911459404,4547.82,7.48292798736228,3,3,0.348125830061934
2937,1.38135373199471,0.770401196310601,4922.74,7.48374393600894,1,1,2.43066619116976
2615,0.0597910786057815,0.635794043902912,4501.03,7.48999945268536,3,3,0.0597910786057815
104,1.22426325320252,0.727859067186566,4789.46,7.49831469765567,1,1,2.34495639898528
598,0.994437581169592,0.692728614520065,4679.4,7.49905406341846,2,2,1.41028582310198
2790,1.48425639732343,0.769130805599964,4918.76,7.5046646608279,1,1,2.49058568473272
2952,1.53942091599445,0.776941474114859,4943.23,7.50812461287136,3,3,1.53942091599445
588,-0.910799580606504,0.669542388082716,4606.76,7.51143645412562,2,2,1.35261076294438
2663,0.144962464729173,0.612227977026955,4427.2,7.51472519202058,3,3,0.144962464729173
115,0.202756018877803,0.607941206362671,4413.77,7.52034738515469,2,2,1.02034798142162
2100,-0.444061122853255,0.616179594363056,4439.58,7.52249339688156,1,1,2.04870453722095
2102,0.478735497340737,0.617245701140324,4442.92,7.52355593098127,1,1,2.05649888801674
1992,-1.03150620213575,0.651233440554544,4549.4,7.54516305142258,2,2,1.43666455550505
2155,-0.0765480296054329,0.574173710564114,4307.98,7.5517691045611,3,3,0.0765480296054329
2101,0.170660077698252,0.572663924619061,4303.25,7.55481873293726,1,1,2.00726800953933
2936,1.14574294110894,0.655392533760473,4562.43,7.55751624635616,3,3,1.14574294110894
2916,0.51045907705311,0.585227386521237,4342.61,7.55758603131523,2,2,1.12275040385026
1895,-1.15310968891633,0.653241168587184,4555.69,7.56076276601396,1,1,2.30860606311963
