Model.catch	CentroidX	CentroidY	Catch.Area.ft2	Catch.Area.ha	2b.Ecoreg	2d.Ecoreg	2e.Ecoreg	2f.Ecoreg	2g.Ecoreg	4a.Ecoreg	4b.Ecoreg	4d.Ecoreg	77a.Ecoreg	77b.Ecoreg	77c.Ecoreg	Impervious	conifer.forest	dense.urban	grass.shrub.crops	light.med.urb	mix.deciduous	regrow.veg	Agriculture	Apt.condo	Commercial	Forest.timber	Industrial	Parks.open.space	Residential	FC00.Road	FC01.Road	FC02.Road	FC07.Road	FC08.Road	FC11.Road	FC12.Road	FC14.Road	FC06.FC16.Road	FC17.Road
4532	1221821	-21786	37154428	345	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.69617287	0.35278926	0.00284091	0.10433884	0.03589876	0.35304752	0.03770661	0.00000000	0.08620523	0.00000000	0.21928186	0.00000000	0.35231047	0.33000120	0.01128046	0.00000000	0.00000000	0.00405233	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4533	1350109	-20971	23965664	223	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.19032258	0.68210863	0.00000000	0.00079872	0.00000000	0.04632588	0.01876997	0.00000000	0.00000000	0.00000000	0.99832352	0.00000000	0.00000000	0.00167586	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4538	1341318	-25630	116728584	1084	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75068470	0.66992846	0.00000000	0.01940630	0.00000000	0.13617301	0.05468300	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4545	1248705	-33571	337270624	3133	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.34574957	0.51374394	0.00159681	0.09828914	0.01117764	0.30809809	0.01824922	0.00000000	0.02055353	0.00421202	0.73120805	0.00138066	0.10183203	0.12869536	0.00424785	0.00000000	0.00000000	0.00000000	0.00018200	0.00000000	0.00000000	0.00000000	0.00214356	0.00000000
4546	1333169	-20670	1050546	10	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.12727273	0.00000000	0.03636364	0.00000000	0.61818182	0.00000000	0.00000000	0.00000000	0.00000000	0.56060753	0.00000000	0.00000000	0.43939247	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4549	1318363	-25193	35364736	329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.71581549	0.33251966	0.00000000	0.02061296	0.00000000	0.42392189	0.10740439	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4550	1312761	-26297	82585792	767	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.94902145	0.37955865	0.00000000	0.01672474	0.00000000	0.40081301	0.03426249	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4552	1333258	-23589	23412586	218	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.37649979	0.13770492	0.00000000	0.16803279	0.00000000	0.46475410	0.04590164	0.00000000	0.00000000	0.00000000	0.68027927	0.00000000	0.00000000	0.31972068	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4559	1309160	-27428	59373208	552	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.86231648	0.38488918	0.00000000	0.02523863	0.00000000	0.33327940	0.09157094	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4566	1353436	-27341	19838790	184	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.56708071	0.43291929	0.00000000	0.00000000	0.00000000	0.00000000	0.94729136	0.43217054	0.00000000	0.02858527	0.00000000	0.21317829	0.05668605	0.00000000	0.00000000	0.00000000	0.91141365	0.00000000	0.00000000	0.08666814	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4567	1330783	-30156	135515456	1259	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.98774688	0.01225312	0.00000000	0.00000000	0.00000000	0.00000000	0.83638444	0.49570587	0.00000000	0.03357229	0.00000000	0.30548655	0.03534672	0.00000000	0.00000000	0.00000000	0.96166118	0.00000000	0.00000000	0.02525251	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
