WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
709	3.2658081173	3.3822787184	4.0899923684
710	4.3768215524	4.2877325223	4.4831626774
712	1.2886434673	1.2886434673	1.2886434673
713	4.2103511046	4.2091924858	4.9799639633
714	3.4471630477	3.4318468036	3.5862089538
715	6.8966900915	5.2737122118	5.6237445212
716	1.7075690710	1.4210266969	1.4731139621
717	1.7449694263	1.5392514297	1.8014627978
718	3.8248193701	2.4195636819	4.3424182949
719	3.6200767845	3.7601156372	6.5496448413
720	2.3301027539	2.3703916180	2.3116416878
721	0.4236326329	0.4335503671	0.4229562166
722	1.6829953632	0.9484630997	1.6484554207
723	4.7469297973	1.9787399818	8.4178832628
724	3.8980960022	3.8155409943	4.8142077412
725	8.7015946045	8.5980688500	8.8318691413
726	5.9647756356	5.6330965239	6.9004542649
727	6.3194080963	2.3242876478	8.5885297265
729	11.1329888906	3.4517857698	18.1146983846
731	8.0653806900	18.1769215388	37.9333435866
733	21.3428008261	27.4038604628	28.1889000484
734	3.4152042762	3.4101399783	3.4841526150
735	1.9211589039	1.9211589039	1.9211589039
740	0.3103222757	0.3103222757	0.3103222757
741	2.0520484285	2.0520484285	2.0520484285
742	4.3228161086	6.1537394971	7.2962463902
743	3.9652418122	10.7401133910	6.0013993953
744	1.1970331336	0.7422275677	4.7806382383
745	0.9566918798	0.9442498720	0.9826391955
746	1.6495675233	1.6495675233	1.6495675233
751	12.7323735702	9.3486310211	20.2626187837
757	14.1846052820	14.9909339915	14.5853264397
759	0.5149802748	0.5149802748	0.5149802748
760	9.3944842597	1.2038012450	11.3788754479
761	1.7633492291	1.5245746900	2.4948493118
763	3.0538957211	3.0538957211	3.0538957211
765	1.6316408601	1.6316408601	1.6316408601
771	0.6470089987	0.6470089987	0.6470089987
774	3.8461603257	3.9241978519	4.0056551079
777	2.1872063214	1.4481650857	2.7818445460
778	0.5486487573	0.5486487573	0.5486487573
784	2.0862975434	2.0862975434	2.0862975434
789	1.7905019561	3.1332100845	2.4542970619
790	2.4484512593	2.4484512593	2.4484512593
791	1.3166850084	1.3166850084	1.0197160416
797	0.2472387113	0.2472387113	0.2472387113
834	0.8085383258	0.8085383258	0.8085383258
835	1.1399963798	1.1399963798	1.1399963798
838	1.2484270080	1.2484270080	1.2484270080
839	0.2469116665	0.2469116665	0.2469116665
840	0.2600337105	0.2600337105	0.2600337105
841	0.7908219848	0.7908219848	0.7908219848
842	1.1935562600	1.7207997399	1.1079136451
843	0.3792488602	0.3792488602	0.3792488602
844	0.3222817642	0.3222817642	0.3222817642
845	0.3771450126	0.3771450126	0.3771450126
846	0.5686220726	0.5686220726	0.5686220726
