Model.catch	axis1	axis2
1178	0.22804	-0.98813
1181	0.55322	0.59623
1182	0.22973	-0.98695
1184	-1.21027	0.53277
1185	0.23047	-0.95528
1186	0.22958	-0.98699
1187	0.23231	-0.98746
1188	0.23142	-0.98677
1189	0.3573	0.46263
1190	0.48966	-0.65513
1191	0.23682	-0.85672
1192	0.22927	-0.98728
1193	0.67424	-0.63833
1197	0.21492	-0.89296
1198	-0.39699	-0.33554
1199	0.23174	-0.98752
1200	0.14043	0.91204
1201	-0.20178	-0.44028
1202	0.45683	-0.7161
1203	0.5726	0.55212
1204	0.25055	-0.84054
1205	-0.43704	-0.38936
1206	0.28789	-0.90397
1208	0.22577	-0.98812
1209	0.32489	-0.72045
1210	0.30731	-0.70489
1211	0.54035	0.42761
1214	0.22905	-0.98756
1215	0.22728	-0.98736
1216	0.22704	-0.98753
1217	0.23131	-0.98691
1218	0.22749	-0.98773
1219	0.69843	0.17062
1220	0.23267	-0.98695
1221	0.23692	-0.98069
1224	0.22682	-0.96667
1225	-0.19023	0.39847
1226	-0.11895	0.35119
1227	0.12074	-0.86171
1228	-0.09216	-0.53698
1229	0.23241	-0.98728
1230	0.23365	-0.98676
1232	-0.26027	-0.51071
1233	0.23268	-0.98672
1235	0.23016	-0.98744
1236	0.23034	-0.98704
1237	0.23291	-0.98726
1239	0.54755	0.62922
1240	0.67465	0.54056
1241	0.22841	-0.98766
1242	0.23108	-0.95642
1243	0.21947	-0.98447
1244	0.227	-0.98765
1245	0.22648	-0.98766
1246	-0.10291	0.65022
1247	0.20852	0.39398
1248	-0.14987	0.35451
1249	0.19732	0.75167
1253	0.57312	0.27046
1254	-0.5789	-0.24174
1255	0.79304	-0.70152
1256	0.22807	-0.98773
1257	0.34234	-0.88135
1258	-0.572	-0.28571
1259	0.22674	-0.98782
1261	0.22746	-0.98759
1262	0.65165	0.74169
1263	0.66384	0.61102
1264	0.23243	-0.9875
1265	-0.17087	-0.63504
1266	0.53247	0.60038
1267	0.26659	-0.81776
1269	0.23049	-0.9876
1271	-0.02633	-0.78257
1272	0.43376	-0.17723
1273	0.42146	0.44556
1274	0.23409	0.52187
1275	0.62794	0.88224
1276	-0.30882	-0.54382
1277	0.50966	0.84431
1278	0.52255	0.32523
1279	0.57853	-0.791
1281	0.23736	-0.97374
1282	0.11257	-0.90992
1283	0.60956	0.48673
1284	0.86679	0.42554
1285	0.10874	0.80538
1287	-0.66835	0.33731
1288	-0.46382	-0.37214
