Model.catch	axis1	axis2
649	0.01863	-0.48175
650	-0.04848	-0.654
651	-0.02666	1.75103
653	-0.02613	1.75105
654	0.01873	-0.45398
656	0.01878	-0.48458
657	-0.02645	1.75104
658	0.02112	-0.3848
659	0.17701	-0.59579
660	0.01887	-0.40495
662	-0.02647	1.75105
663	-0.02645	1.75104
664	-0.02629	1.75105
665	-0.09779	-0.61034
667	0.02323	-0.54599
668	0.02017	-0.50915
669	0.01929	-0.39218
670	0.01931	-0.39736
671	0.01878	-0.48382
672	0.02323	-0.28075
673	0.29599	-0.5375
674	-0.02607	1.75105
676	0.00769	0.03068
677	-0.02625	1.75105
678	0.01925	-0.39447
680	-0.02647	1.75105
681	0.02405	-0.55486
682	0.0188	-0.44116
683	0.0185	-0.46579
684	0.02958	-0.59635
685	0.02309	-0.28128
686	0.01888	-0.40511
687	0.10704	-0.55948
689	-0.02624	0.27366
690	-0.0265	1.75104
692	-0.02645	1.75105
693	0.02681	-0.57919
696	0.02517	-0.5648
697	0.02765	-0.58514
698	-0.02624	1.75104
699	0.02272	-0.1895
700	0.02494	-0.56215
701	0.03477	-0.61995
702	0.02882	-0.5933
704	0.15608	-0.59276
705	0.02721	-0.5825
706	0.02075	-0.51682
707	0.01864	-0.48179
709	-0.13048	-0.66409
711	-0.17364	-0.79423
712	0.00758	0.04503
713	-0.02647	1.75104
714	0.02064	-0.37577
715	0.09142	-0.87301
716	0.02502	-0.56399
717	0.03055	-0.60025
718	0.02588	-0.57222
719	0.02295	-0.33724
720	0.02155	-0.28839
721	-0.02651	1.75104
722	0.02748	-0.58467
723	0.03078	-0.60162
724	0.01944	-0.40914
726	0.0186	-0.43487
727	0.01943	-0.41416
728	0.02025	-0.36681
729	0.02212	-0.53338
730	0.0193	-0.4165
731	0.02008	-0.38905
733	0.02151	-0.52871
734	-0.02628	1.75105
735	0.02162	-0.32128
736	-0.09018	-0.76153
737	0.01862	-0.46455
739	-0.02643	1.75104
740	0.01898	-0.43987
741	0.00761	0.04517
742	0.02706	-0.20117
743	-0.02611	1.75105
744	0.00187	0.12623
745	0.02268	-0.53921
747	-0.02641	1.75104
748	0.09007	-0.84674
752	0.01891	-0.4319
753	-0.02653	1.75105
754	0.02198	-0.53203
755	0.02085	-0.52152
756	0.04244	-0.69852
757	-0.0267	1.75104
758	0.02199	-0.28634
759	0.02303	-0.21645
761	0.30687	-0.46741
762	0.03434	-0.61868
763	-0.0261	1.75105
764	0.02224	-0.31888
766	-0.02643	1.75104
767	-0.02612	1.75105
768	0.02272	-0.53962
769	0.02671	-0.57869
770	0.02212	-0.53362
771	0.01844	-0.46699
772	0.02015	-0.50961
773	-0.02608	1.75105
774	0.00392	0.10676
775	-0.00705	0.2002
776	0.0827	-0.82881
779	0.01886	-0.44067
780	-0.13895	-0.7101
781	-0.02648	1.75104
782	0.30986	-0.58529
784	-0.23355	-0.37593
786	-0.02628	1.75105
787	-0.02646	1.75104
788	0.01903	-0.41904
791	-0.02635	1.75105
792	0.02274	-0.25191
793	0.01038	-0.03805
794	0.02096	-0.32415
795	-0.02607	1.75105
796	0.08049	-0.82726
797	0.02073	-0.51518
801	-0.0266	1.75104
802	0.0315	-0.62415
804	0.02338	-0.64219
805	-0.11324	-0.71473
806	0.02195	-0.53221
808	0.01818	-0.47322
809	0.02162	-0.34164
812	0.02451	-0.27606
813	0.02264	-0.25251
814	-0.03995	-0.86297
815	0.02731	-0.20035
816	0.01998	-0.50302
817	0.02101	-0.52321
818	0.02279	-0.54116
819	-0.00229	0.13398
821	0.00788	0.01969
822	0.09688	-0.54626
824	0.01885	-0.4531
825	-0.17759	-0.82791
826	-0.09739	-0.62435
827	-0.02657	1.75104
830	-0.02635	1.75104
831	0.01907	-0.49385
832	0.01899	-0.4311
833	0.02369	-0.31333
834	-0.07077	-0.54483
835	0.01852	-0.46565
836	0.02132	-0.37305
837	0.01866	-0.48641
838	-0.14193	-0.74205
839	0.019	-0.45808
841	-0.02669	1.75104
842	0.01807	-0.47406
843	0.02244	-0.30539
845	0.02227	-0.17055
846	-0.1205	-0.97394
847	0.01949	-0.39672
848	0.09783	-0.55887
850	0.00774	0.02234
851	0.02251	-0.2534
852	0.03245	-0.6072
853	0.01906	-0.49372
854	-0.0266	1.75105
855	0.01948	-0.41007
856	0.0229	-0.28234
857	-0.07363	-0.85038
858	0.01843	-0.43567
859	0.01951	-0.41216
860	-0.02623	1.75105
861	0.01873	-0.4833
863	0.02307	-0.33702
864	0.02087	-0.52019
865	-0.1211	-0.79641
866	-0.02672	1.75104
867	0.02392	-0.55357
868	-0.07149	-0.62
869	0.02026	-0.1318
870	0.02051	-0.37621
871	0.02733	-0.58343
872	0.02185	-0.53086
873	0.02011	-0.50891
874	-0.04926	-0.64011
875	-0.0265	1.75105
876	-0.103	-0.98763
877	0.02087	-0.52066
878	0.01999	-0.37866
879	-0.09066	-0.67644
880	-0.02647	1.75104
881	-0.02662	1.75104
882	0.02014	-0.50963
883	0.02273	-0.53972
885	0.0327	-0.60814
886	0.02139	-0.38301
887	-0.07988	-0.5976
894	0.02277	-0.18947
895	0.02147	-0.32792
896	0.02118	-0.52553
898	-0.02627	1.75105
899	0.16543	-0.58846
900	0.01961	-0.39093
901	-0.02628	1.75104
902	-0.16025	-0.84336
904	-0.02642	1.75104
905	-0.02613	1.75104
906	0.02641	-0.20221
908	0.13319	-0.52159
909	0.02584	-0.27143
910	0.0211	-0.34432
911	0.02316	-0.3018
912	0.02575	-0.27179
913	0.01912	-0.39881
914	0.0187	-0.48559
915	0.02134	-0.38316
916	-0.00421	0.16143
917	-0.02661	1.75103
918	-0.10123	-0.76343
919	0.11109	-0.48392
920	0.02002	-0.50777
921	-0.09229	-0.78942
922	-0.02634	1.75104
923	0.01808	-0.47371
924	0.02009	-0.50897
925	0.01986	-0.12085
926	-0.02646	1.75105
927	0.02077	-0.37469
928	-0.13988	-0.95145
929	-0.02675	1.75104
930	0.02441	-0.21042
931	-0.02643	1.75104
933	0.17917	-0.53843
934	-0.02678	1.75104
935	0.02171	-0.2873
936	-0.02634	1.75105
937	0.02229	-0.16635
939	-0.02622	1.75104
940	0.0188	-0.45013
941	0.01905	-0.45231
942	-0.11383	-0.84025
943	-0.02662	1.75104
944	0.0231	-0.23683
945	0.02085	-0.51984
946	-0.02625	1.75105
947	0.0099	-0.01683
948	0.01929	-0.42875
949	-0.12062	-0.63723
950	-0.0952	-0.6577
951	0.02304	-0.24576
952	0.01861	-0.43489
954	-0.02651	1.75104
955	0.02372	-0.55182
956	0.0545	-0.67133
957	-0.09122	-0.79015
958	0.01802	-0.47424
960	0.02385	-0.55269
961	0.02333	-0.33604
962	0.01851	-0.46579
963	-0.09883	-0.69414
964	-0.08353	-0.84603
965	0.02173	-0.34129
966	0.02218	-0.53507
967	0.02213	-0.30653
969	-0.08173	-0.69525
970	-0.08155	-0.56306
971	0.02319	-0.23458
972	-0.02609	1.75105
973	0.0184	-0.4685
974	-0.16028	-0.60853
975	-0.02671	1.75104
976	0.0231	-0.2612
977	0.08097	-0.56412
978	0.16991	-0.58248
979	0.02391	-0.27748
981	-0.03658	-0.74886
982	-0.04379	-0.7824
984	-0.02642	1.75104
985	0.0308	-0.60174
986	-0.09346	-0.79523
987	-0.21118	-0.56737
988	0.02222	-0.33929
989	0.01994	-0.50307
990	0.01914	-0.39351
992	0.02177	-0.15888
994	0.02043	-0.13244
995	0.02243	-0.17111
997	-0.02637	1.75105
998	-0.08518	-0.68635
1000	-0.02673	1.75104
1002	0.02369	-0.27877
1005	-0.02624	1.75104
1008	0.03631	-0.6244
1009	0.02471	-0.27538
1012	-0.0268	1.75104
1014	0.0202	-0.36731
1016	0.0234	-0.30041
1017	0.02685	-0.57971
1018	0.01875	-0.4506
1019	0.01858	-0.46523
1020	0.01805	-0.47421
1024	0.01992	-0.50322
1025	-0.06861	-0.75782
1027	0.01975	-0.39058
1028	0.14793	-0.60001
1029	-0.02678	1.75104
1030	0.02607	-0.57379
1032	-0.02674	1.75104
1033	0.03073	-0.60125
1035	0.27132	-0.84401
1037	0.02323	-0.22423
1038	-0.02666	1.75104
1041	-0.02642	1.75105
1042	0.01994	-0.50172
1043	0.03571	-0.6227
1044	0.02357	-0.55026
1045	0.01031	-0.03855
1047	0.02205	-0.53291
1048	0.02143	-0.52808
1049	0.01975	-0.39056
1052	-0.02643	1.75105
1053	0.21696	-0.88272
1055	-2.16911	0.72404
1056	-0.02677	1.75104
1058	0.16188	-0.66978
1059	-0.02628	1.75105
1060	-0.02623	1.75105
1061	0.35341	-0.50839
1062	0.02301	-0.24124
1065	-0.02638	1.75105
1066	0.023	-0.24967
1068	-0.02633	1.75104
1069	-0.02669	1.75104
1070	0.01799	-0.81814
1073	-0.02657	1.75103
1074	0.01849	-0.46587
1075	-0.02642	1.75105
1076	-0.08487	-0.71909
1077	0.02001	-0.37852
1078	-0.03303	0.2792
1079	-0.02639	1.75104
1081	-0.02633	1.75104
1082	-0.02651	1.75104
1083	0.07746	-0.93185
1085	-0.06563	-0.56873
1086	-0.09363	-0.85456
1088	-0.02632	1.75104
1090	-0.02644	1.75104
1092	-0.14909	-0.71432
1093	0.01951	-0.41051
1094	0.02064	-0.37512
1095	-0.02648	1.75104
1097	-0.21084	-0.59485
1100	0.0223	-0.31874
1101	-0.02654	1.75104
1102	0.02197	-0.29263
1103	0.02344	-0.18004
1104	0.02354	-0.27928
1105	0.02385	-0.55281
1106	-0.06106	-0.97666
1107	0.01948	-0.41326
1108	-0.02626	1.75104
1109	0.00775	0.02694
1110	-0.11842	-0.992
1111	0.02235	-0.31865
1112	-0.0267	1.75103
1113	-0.02616	1.75105
1115	0.02268	-0.87106
1116	0.02119	-0.52556
1117	-0.02614	1.75105
1119	-0.02615	1.73236
1120	-0.17416	-0.37807
1121	0.02305	-0.33702
1123	-0.26825	-0.8481
1124	-0.04188	-0.73031
1125	0.02071	-0.51495
1126	0.02242	-0.25389
1127	0.02633	-0.26957
1128	-0.07988	-0.76257
1129	0.02068	-0.51782
1133	0.0229	-0.33732
1134	0.03446	-0.61907
1136	0.13886	-0.60521
1137	0.0059	0.09181
1138	-0.02673	1.75104
1139	0.01879	-0.48306
1140	0.02288	-0.25763
1142	0.01887	-0.44071
1143	-0.02665	1.75104
1144	0.02313	-0.22808
1145	0.01866	-0.48603
1146	-0.0263	1.75105
1148	0.00732	0.05565
1149	-0.02622	1.75105
1152	-0.07514	-1.07004
1153	-0.00372	-0.98063
1154	0.02551	-0.56804
1155	0.02047	-0.35978
1156	0.02197	-0.34049
1157	0.02651	-0.20225
1158	-0.03233	-0.65746
1163	0.10049	-0.7896
1164	-0.17412	-0.49749
1165	-0.09137	-0.64354
1171	0.09377	-0.7465
1172	0.19832	-0.58319
1173	0.02077	-0.37465
1174	-0.05342	-0.88778
1175	0.02442	-0.27632
1176	0.09224	-0.8596
1177	-0.02658	1.75104
1178	0.02094	-0.37424
1181	-0.12221	-0.79982
1182	-0.02614	1.75105
1184	0.01873	-0.43358
1185	0.019	-0.494
1186	0.023	-0.18773
1187	-0.02607	1.75105
1188	-0.02664	1.75103
1189	0.19365	-0.64461
1190	0.18556	-0.78861
1191	0.02059	-0.37562
1192	0.02289	-0.31591
1193	0.01886	-0.43237
1197	-0.19977	-0.64522
1198	0.02544	-0.56767
1199	0.02023	-0.36098
1200	0.03724	-0.62688
1201	0.02148	-0.15357
1202	0.18511	-0.99423
1203	-0.07058	-0.79769
1204	-0.21352	-0.79901
1205	0.0205	-0.35976
1206	0.02292	-0.282
1208	-0.02636	1.75105
1209	0.10131	-0.72103
1210	0.15539	-0.95369
1211	-0.06989	-0.73209
1214	-0.02638	1.75105
1215	-0.0265	1.75105
1216	-0.02644	1.75104
1217	-0.02611	1.75105
1218	0.02107	-0.14442
1219	-0.1331	-0.97664
1220	0.01937	-0.4283
1221	0.01008	-0.02883
1224	0.01036	-0.04499
1225	0.02192	-0.53124
1226	0.02301	-0.22872
1227	0.01872	-0.43305
1228	0.01889	-0.40106
1229	-0.02677	1.75104
1230	-0.02615	1.75105
1232	0.01843	-0.46156
1233	-0.02678	1.75104
1235	0.02082	-0.3499
1236	-0.02677	1.75104
1237	0.01867	-0.45982
1239	0.13156	-0.75009
1240	-0.03956	-0.96873
1241	-0.02661	1.75104
1242	0.02014	-0.36392
1243	-0.02672	1.75104
1244	0.01898	-0.39949
1245	0.00802	0.00105
1246	0.0184	-0.46793
1247	0.16328	-0.56857
1248	0.02289	-0.3161
1249	0.02962	-0.59685
1253	0.01915	-0.49512
1254	-0.02677	1.75104
1255	-0.02626	1.75104
1256	0.02377	-0.33495
1257	-0.02633	1.75104
1258	0.01952	-0.3966
1259	0.0228	-0.54112
1261	-0.02622	1.75105
1262	-0.12039	-0.83584
1263	-0.06829	-0.89572
1264	0.0179	-0.09085
1265	0.01828	-0.0968
1266	-0.084	-0.72342
1267	0.02196	-0.29274
1269	0.02312	-0.22532
1271	-0.02626	1.75104
1272	-0.16351	-0.57956
1273	0.01886	-0.45303
1274	-0.12252	-0.88924
1275	0.06068	-0.82404
1276	0.01886	-0.43254
1277	0.01833	-0.46884
1278	-0.07347	-0.89373
1279	-0.02623	1.75105
1281	-0.02643	1.75105
1282	0.02351	-0.5493
1283	-0.02761	-0.81271
1284	-0.152	-0.79145
1285	0.0191	-0.4962
1287	0.02192	-0.31996
1288	0.02553	-0.56867
1290	0.02603	-0.57338
1292	0.0705	-0.72928
1293	0.06237	-0.87779
1294	-0.23061	-0.85726
1295	-0.11134	-0.59901
1298	0.01895	-0.45161
1299	-0.02661	1.75104
1300	0.20615	-0.56646
1302	-0.02621	1.75105
1303	0.08734	-0.60871
1304	0.02032	-0.36066
1305	0.01885	-0.44973
1307	-0.02673	1.75104
1309	0.11624	-0.52264
